date,retailer,category,sales_qty,price,promotion
2024-07-03,dmart,Stationery & Books,91,300.2,1
2024-07-03,dmart,Ready-to-Eat & Instant Food,63,238.88,0
2024-07-03,dmart,Groceries & Staples,73,357.29,0
2024-07-03,dmart,Beverages & Cold Drinks,80,62.52,1
2024-07-03,dmart,Personal Care,65,352.27,0
2024-07-03,dmart,Apparels & Innerwear,52,379.7,0
2024-07-03,vmart,Stationery & Books,74,102.28,0
2024-07-03,vmart,Ready-to-Eat & Instant Food,60,79.19,0
2024-07-03,vmart,Groceries & Staples,32,256.61,0
2024-07-03,vmart,Beverages & Cold Drinks,41,247.34,0
2024-07-03,vmart,Personal Care,57,220.88,0
2024-07-03,vmart,Apparels & Innerwear,106,73.54,0
2024-07-03,local,Stationery & Books,90,153.86,0
2024-07-03,local,Ready-to-Eat & Instant Food,123,282.67,0
2024-07-03,local,Groceries & Staples,53,282.54,1
2024-07-03,local,Beverages & Cold Drinks,45,44.46,1
2024-07-03,local,Personal Care,51,286.05,0
2024-07-03,local,Apparels & Innerwear,48,235.26,1
2024-07-04,dmart,Stationery & Books,41,341.86,1
2024-07-04,dmart,Ready-to-Eat & Instant Food,63,348.84,0
2024-07-04,dmart,Groceries & Staples,70,290.6,0
2024-07-04,dmart,Beverages & Cold Drinks,52,171.65,0
2024-07-04,dmart,Personal Care,59,431.35,0
2024-07-04,dmart,Apparels & Innerwear,38,394.12,0
2024-07-04,vmart,Stationery & Books,61,113.99,0
2024-07-04,vmart,Ready-to-Eat & Instant Food,43,282.86,0
2024-07-04,vmart,Groceries & Staples,32,349.99,0
2024-07-04,vmart,Beverages & Cold Drinks,38,159.52,0
2024-07-04,vmart,Personal Care,56,141.12,0
2024-07-04,vmart,Apparels & Innerwear,135,142.34,0
2024-07-04,local,Stationery & Books,94,96.11,0
2024-07-04,local,Ready-to-Eat & Instant Food,87,107.98,0
2024-07-04,local,Groceries & Staples,30,177.24,0
2024-07-04,local,Beverages & Cold Drinks,60,87.65,0
2024-07-04,local,Personal Care,86,259.33,0
2024-07-04,local,Apparels & Innerwear,37,235.7,0
2024-07-05,dmart,Stationery & Books,53,445.41,0
2024-07-05,dmart,Ready-to-Eat & Instant Food,38,269.11,0
2024-07-05,dmart,Groceries & Staples,82,132.35,0
2024-07-05,dmart,Beverages & Cold Drinks,57,374.3,0
2024-07-05,dmart,Personal Care,56,280.86,0
2024-07-05,dmart,Apparels & Innerwear,41,358.32,0
2024-07-05,vmart,Stationery & Books,43,95.32,0
2024-07-05,vmart,Ready-to-Eat & Instant Food,33,258.68,0
2024-07-05,vmart,Groceries & Staples,46,152.47,1
2024-07-05,vmart,Beverages & Cold Drinks,35,97.5,0
2024-07-05,vmart,Personal Care,71,262.53,0
2024-07-05,vmart,Apparels & Innerwear,125,395.86,0
2024-07-05,local,Stationery & Books,104,276.8,0
2024-07-05,local,Ready-to-Eat & Instant Food,94,173.91,0
2024-07-05,local,Groceries & Staples,53,209.18,0
2024-07-05,local,Beverages & Cold Drinks,52,154.03,0
2024-07-05,local,Personal Care,98,200.94,1
